1,"Fiat","S","Todos os modelos Fiat dispäem de opcionais de livre escolha. Clique em continuar e veja a rela‡Æo destes equipamentos.","30000000",2003-01-16 19:38:43.513000000
2,"Volkswagen","S","Os modelos Volkswagen possuem opcionais individuais e pacotes de equipamentos. Clique em continuar e veja os acess¢rios e conte£do destes kits.A eventual ausˆncia de algum modelo se deve … atualiza‡Æo de arquivos ou mudan‡as de c¢digos.","00000000",2003-01-15 11:08:37.250000000
3,"Ford","S","Cada modelo Ford  traz um pacote exclusivo de equipamentos de s‚rie. Clique no botÆo (p) e veja os acess¢rios de cada versÆo.","00000000",2003-01-15 11:08:37.250000000
4,"Chevrolet","S","Os modelos Chevrolet tˆm opcionais individuais e pacotes de equipamentos. Clique em continuar e veja os acess¢rios e conte£do desses kits.","00000000",2003-01-15 11:08:37.250000000
5,"Renault","S","","83600000",2003-01-15 11:08:37.250000000
6,"Peugeot","S","","00000000",2003-01-15 11:08:37.250000000
7,"Mercedes-Benz","S","","00000000",2003-01-15 11:08:37.250000000
8,"Mitsubishi","S","","00000000",2003-01-15 11:08:37.250000000
9,"Kia","S","","00000000",2003-01-15 11:08:37.250000000
10,"Nissan","S","","00000000",2003-01-15 11:08:37.250000000
11,"Toyota","S","","00000000",2003-01-15 11:08:37.250000000
12,"Honda","S","","00000000",2003-01-15 11:08:37.250000000
13,"Mazda","N","","00000000",2003-01-15 11:08:37.250000000
14,"Volvo","S","","00000000",2003-01-15 11:08:37.250000000
15,"BMW            ","S","","00000000",2003-01-15 11:08:37.250000000
16,"Asia Motors","N","","00000000",2003-01-15 11:08:37.250000000
17,"Alfa Romeo","N","","30000000",2010-05-31 11:06:07.217000000
18,"Chrysler","S","","00000000",2003-01-15 11:08:37.250000000
19,"Citroen","S","","00000000",2003-01-15 11:08:37.250000000
20,"Daewoo","N","","",2003-01-15 11:08:37.250000000
21,"Daihatsu","N","","00000000",2003-05-12 16:31:31.280000000
22,"Hyundai","S","","00000000",2003-01-15 11:08:37.250000000
23,"Land Rover","S","","00000000",2003-01-15 11:08:37.250000000
24,"Subaru","S","","00000000",2003-01-15 11:08:37.250000000
25,"Suzuki","S","","00000000",2010-01-08 12:10:34.717000000
27,"Ferrari","N","","00000000",2010-05-31 11:42:24.263000000
28,"JPX","N","","00000000",2003-01-15 11:08:37.250000000
29,"Jeep","S","","00000000",2003-01-15 11:08:37.250000000
30,"Dodge","S","","00000000",2005-04-20 13:26:40.890000000
31,"Audi","S","","83600000",2003-01-15 11:08:37.250000000
32,"Jaguar","S","","00000000",2010-05-31 11:53:46.890000000
33,"Lada","N","","00000000",2003-01-15 11:08:37.250000000
34,"Lexus","S","","00000000",2003-01-15 11:08:37.250000000
35,"Maserati","N","","00000000",2010-05-31 12:15:13.590000000
36,"Seat","N","","00000000",2010-05-31 14:41:12.340000000
37,"Porsche","N","","00000000",2010-05-31 14:38:41.700000000
38,"Fora de S‚rie","N","","00000000",2003-05-12 16:31:35.407000000
39,"Troller","S","","",2003-01-15 11:08:37.250000000
40,"Cross Lander","N","","00000000",2007-02-27 18:45:31.623000000
41,"Importa‡Æo Independente","N","","",2004-06-09 16:57:23.450000000
42,"Smart","S","","00000000",2010-05-31 14:49:39.560000000
43,"Ssangyong","S","","00000000",2010-05-31 14:51:49.717000000
44,"Rolls Royce","N","","",2004-06-04 18:32:40.390000000
45,"Lincoln","N","","",2004-06-04 18:47:54.327000000
46,"GMC","N","","",2004-06-04 18:49:44.793000000
47,"Chamonix","S","","",2010-01-05 14:59:15
48,"Pontiac","N","","",2004-07-16 13:40:55.560000000
49,"Lamborghini","N","","",2004-07-16 13:41:53.403000000
50,"Puma","N","","",2004-12-08 16:10:32.280000000
51,"Bentley","N","","",2006-05-18 18:00:41.623000000
52,"Bianco","N","","",2006-05-18 18:02:18.513000000
53,"Buick","N","","",2006-05-18 18:02:39.780000000
54,"Cadillac","N","","",2006-05-18 18:03:33.670000000
55,"Dkw-Vemag","N","","",2006-05-18 18:03:58.437000000
56,"Engesa","N","","",2006-05-18 18:04:35.090000000
57,"Envemo","N","","",2006-05-18 18:05:04.280000000
58,"FNM","N","","",2006-05-18 18:05:52.907000000
59,"GEO","N","","",2006-05-18 18:06:13.453000000
60,"GURGEL","S","","",2010-10-05 10:14:39.893000000
61,"Hummer","N","","",2006-05-18 18:06:54.280000000
62,"Infiniti","S","","",2009-11-17 10:44:15.780000000
63,"Izusu","N","","",2006-05-18 18:07:28.280000000
64,"Lancia","N","","",2006-05-18 18:07:44.090000000
65,"Lobini","N","","",2006-05-18 18:08:04.577000000
66,"Lotus","N","","",2006-05-18 18:08:20.700000000
67,"Mercury","N","","",2006-05-18 18:08:44.437000000
68,"MG","N","","",2006-05-18 18:08:55.217000000
69,"Mini","S","","",2010-05-31 12:24:25.857000000
70,"Miura","N","","",2006-05-18 18:09:31.373000000
71,"MP LAFER","N","","",2006-05-18 18:09:47.293000000
72,"OLDSMOBILE","N","","",2006-05-18 18:10:05.560000000
73,"PLYMOUTH","N","","",2006-05-18 18:10:16.327000000
74,"SAAB","N","","",2006-05-18 18:10:27.467000000
75,"Santa Matilde","N","","",2006-05-18 18:10:48.060000000
76,"Saturn","N","","",2006-05-18 18:11:01.687000000
77,"WILLYS","N","","",2006-05-19 11:53:10.263000000
78,"BRM","N","","",2008-07-10 19:05:20.653000000
79,"CN AUTO","S","","00000000",2010-04-28 11:36:20.857000000
80,"EFFA","S","","00000000",2009-01-16 11:06:35.827000000
81,"Byd","N","","",2009-06-04 11:11:08.890000000
82,"Chana motors","S","","",2012-07-02 15:47:45.653000000
83,"Iveco","N","","",2010-05-31 11:55:15.983000000
84,"Mahindra","S","","",2009-11-16 11:11:22.997000000
85,"TAC","S","","",2010-03-02 17:33:19.107000000
86,"CBT","N","","",2010-03-09 14:34:04.860000000
87,"CHERY","s","","",2012-07-02 16:33:09.153000000
88,"JAC","s","","",2011-02-14 16:46:30.060000000
89,"LIFAN","S","","",2011-08-18 10:11:17.590000000
90,"HyundaiHB20","S","","",2013-02-26 11:21:51.013000000
